time,A,B,P12,P23,current_lorry
0.25,0.0,0.0,2.5,0.0,12
0.333,2.5,0.0,2.5,2.5,12
0.417,2.5,0.0,2.5,2.5,12
0.5,2.5,0.0,5.0,2.5,12
0.583,2.5,0.0,5.0,5.0,12
0.667,2.5,2.5,5.0,5.0,12
0.75,2.5,2.5,7.5,5.0,12
0.833,2.5,2.5,7.5,7.5,12
0.917,2.5,2.5,7.5,7.5,12
1.0,2.5,5.0,7.5,7.5,12
1.083,2.5,5.0,7.5,7.5,12
1.167,2.5,5.0,7.5,7.5,12
1.25,2.5,5.0,7.5,7.5,12
1.333,5.0,5.0,10.0,10.0,12
1.417,5.0,5.0,10.0,10.0,12
1.5,5.0,5.0,10.0,12.5,12
1.583,5.0,5.0,10.0,12.5,12
1.667,5.0,5.0,10.0,12.5,12
1.75,5.0,5.0,10.0,12.5,12
1.833,5.0,5.0,10.0,12.5,12
1.917,5.0,5.0,10.0,12.5,12
2.0,5.0,5.0,10.0,12.5,12
2.083,5.0,5.0,10.0,12.5,12
2.167,5.0,5.0,10.0,12.5,12
2.25,5.0,5.0,10.0,12.5,12
2.333,5.0,5.0,10.0,12.5,12
2.417,5.0,5.0,10.0,12.5,12
2.5,5.0,5.0,10.0,12.5,12
2.583,5.0,5.0,10.0,12.5,12
2.667,5.0,5.0,10.0,12.5,12
2.75,5.0,5.0,10.0,12.5,12
2.833,5.0,5.0,10.0,12.5,12
2.917,5.0,7.5,10.0,12.5,12
3.0,5.0,7.5,10.0,12.5,12
3.083,5.0,7.5,10.0,12.5,12
3.167,5.0,7.5,10.0,12.5,12
3.25,5.0,7.5,10.0,12.5,12
3.333,5.0,7.5,10.0,12.5,12
3.417,5.0,10.0,10.0,12.5,12
3.5,5.0,10.0,10.0,12.5,12
3.583,5.0,10.0,10.0,12.5,12
3.667,5.0,10.0,10.0,12.5,12
3.75,5.0,10.0,10.0,12.5,12
3.833,5.0,10.0,10.0,12.5,12
3.917,5.0,10.0,10.0,12.5,12
4.0,5.0,10.0,10.0,12.5,12
4.083,5.0,10.0,10.0,12.5,12
4.167,5.0,10.0,10.0,12.5,12
4.25,5.0,10.0,10.0,12.5,12
4.333,5.0,10.0,10.0,12.5,12
4.417,5.0,10.0,10.0,12.5,12
4.5,5.0,10.0,10.0,12.5,12
4.583,5.0,12.5,10.0,12.5,12
4.667,5.0,12.5,10.0,12.5,12
4.75,5.0,12.5,10.0,12.5,12
4.833,5.0,12.5,10.0,12.5,12
